policyholder_age,occupation,region,schufa_score,customer_since_years,vehicle_value,vehicle_type,coverage_type,number_of_prior_claims,claim_amount,police_report,witnesses_present,reporting_delay_days,fraud
78,Unemployed,PLZ_10,435,15,40824.327828381014,Mid-range,Partial coverage,2,1522.6761661219316,1,1,36,0
48,Employed,PLZ_03,520,16,69204.84993443868,Compact,Partial coverage,0,14386.09761369309,0,1,60,0
45,Employed,PLZ_06,582,13,37605.310057101044,Sports car,Comprehensive,1,6745.696690462962,1,0,11,0
46,Unemployed,PLZ_04,339,9,11919.290351003556,SUV,Liability,4,20516.497657168133,0,0,5,1
53,Unemployed,PLZ_02,509,15,35398.19748752564,Luxury,Liability,2,7564.1509807237835,1,1,30,0
44,Employed,PLZ_03,607,14,61819.43411963827,Luxury,Partial coverage,0,25030.18024118904,0,1,6,0
55,Self-employed,PLZ_04,738,18,38082.786924216416,SUV,Partial coverage,0,12617.145047378628,1,1,5,0
59,Self-employed,PLZ_09,556,23,20361.808403682622,Luxury,Partial coverage,1,12116.008358164636,1,1,17,0
47,Student,PLZ_05,454,2,75372.85742981135,Sports car,Comprehensive,3,21392.693471323684,0,1,28,0
55,Self-employed,PLZ_07,661,2,25071.974267199676,Luxury,Partial coverage,1,12767.810944293016,0,0,49,1
65,Employed,PLZ_01,543,22,42024.82979898696,Luxury,Liability,2,7468.374484574371,1,1,34,0
21,Student,PLZ_01,373,8,28898.470453878068,Mid-range,Comprehensive,5,4086.0202639364447,0,1,8,0
61,Unemployed,PLZ_06,586,16,33939.26508911595,Sports car,Partial coverage,1,3105.601142239192,1,1,3,0
43,Self-employed,PLZ_07,495,19,51822.750580656655,Sports car,Liability,2,4413.789795799172,1,0,9,0
30,Self-employed,PLZ_01,422,0,39015.63135989519,SUV,Partial coverage,3,59341.672940958844,0,0,22,1
28,Unemployed,PLZ_04,595,15,9069.27584765813,Luxury,Partial coverage,4,3538.64687131015,1,1,26,0
51,Employed,PLZ_06,631,3,41181.4451017723,Compact,Partial coverage,2,20562.316907531913,1,0,31,0
50,Self-employed,PLZ_02,729,18,24549.211329748163,Sports car,Comprehensive,3,3494.3590164912976,0,0,11,0
26,Student,PLZ_09,729,11,50848.27171516251,Sports car,Comprehensive,1,4290.490221611198,0,1,5,0
55,Self-employed,PLZ_10,704,9,15351.43942949314,Compact,Comprehensive,2,6220.393440028791,0,0,15,0
23,Unemployed,PLZ_02,328,22,46976.72224873804,Sports car,Comprehensive,2,3078.1538572127624,0,1,53,0
54,Student,PLZ_10,673,19,36551.66820888827,SUV,Liability,1,10547.34114555703,0,0,15,0
54,Unemployed,PLZ_05,558,22,64845.4013824624,Luxury,Comprehensive,2,9427.131646526734,0,1,18,0
68,Employed,PLZ_01,591,20,27784.890573647488,SUV,Liability,0,3616.3668293129413,1,1,0,0
80,Unemployed,PLZ_06,727,24,8904.48613405407,Luxury,Comprehensive,0,6476.59274925657,1,1,7,0
25,Employed,PLZ_03,378,14,7734.370402873516,SUV,Partial coverage,2,22152.34805200796,0,0,44,1
42,Employed,PLZ_06,343,11,36581.92287393692,SUV,Comprehensive,2,25529.512125153262,0,0,45,0
46,Student,PLZ_09,667,23,41909.37332642073,Luxury,Liability,2,14573.262714048216,1,0,34,0
51,Unemployed,PLZ_08,588,12,30636.2968607761,Mid-range,Comprehensive,3,14178.780378977417,0,0,20,1
51,Self-employed,PLZ_02,591,29,63213.72374669571,Sports car,Comprehensive,2,12355.913071070561,0,0,13,1
47,Self-employed,PLZ_09,550,24,53557.478353943145,Sports car,Partial coverage,3,4435.227550547154,1,0,32,0
41,Student,PLZ_01,652,5,45668.351869209066,Luxury,Comprehensive,2,8646.175186991217,0,0,38,0
25,Self-employed,PLZ_03,575,7,49280.40115409337,Compact,Partial coverage,1,10490.10274645872,1,1,37,0
64,Student,PLZ_10,610,17,61308.758518180606,Mid-range,Comprehensive,1,18026.794183740825,0,1,34,0
49,Unemployed,PLZ_10,388,9,49027.35576800324,Sports car,Comprehensive,4,9732.572166402855,0,0,26,0
76,Employed,PLZ_04,714,30,18596.892682662827,Sports car,Comprehensive,0,7326.155538067653,1,1,0,0
41,Employed,PLZ_05,634,17,33085.32104880135,Sports car,Partial coverage,2,3853.2316346939474,1,1,13,0
39,Unemployed,PLZ_07,727,5,11756.307252215896,Sports car,Liability,2,3404.527456227826,1,1,30,0
35,Unemployed,PLZ_03,585,25,69831.44318115817,Mid-range,Partial coverage,4,13379.308672797943,1,1,24,0
54,Unemployed,PLZ_06,569,11,18269.611606511327,SUV,Liability,3,9582.276576657412,0,1,19,0
44,Unemployed,PLZ_08,703,18,48420.25506565065,Luxury,Liability,0,9078.516178317232,1,0,0,0
78,Student,PLZ_05,640,11,5231.5806196664835,SUV,Liability,2,7541.42006390681,0,0,51,0
28,Self-employed,PLZ_01,520,19,26104.39175703993,Luxury,Liability,0,11847.342521556246,1,1,25,0
46,Self-employed,PLZ_05,300,7,71705.37285569821,Compact,Liability,2,11120.123864367526,0,0,56,1
76,Self-employed,PLZ_03,750,12,63741.71855082468,SUV,Comprehensive,2,9799.151675262114,0,1,18,0
63,Self-employed,PLZ_04,827,15,8349.51082488685,Mid-range,Partial coverage,1,7208.424511758753,0,1,10,0
55,Employed,PLZ_10,568,4,45087.12882727728,Compact,Liability,1,6371.659676745882,1,1,36,0
30,Student,PLZ_07,438,5,31340.008267870096,Compact,Comprehensive,2,26859.450023217778,1,0,43,0
27,Student,PLZ_03,566,5,11673.990738560062,Sports car,Comprehensive,2,7752.31542404118,0,0,27,0
64,Self-employed,PLZ_01,613,15,65645.23540188784,Sports car,Liability,1,13846.895586128165,1,1,33,0
70,Student,PLZ_08,668,17,69722.75454312075,Sports car,Comprehensive,1,15304.770226209515,0,0,60,0
42,Student,PLZ_04,599,18,40861.41426838706,Luxury,Partial coverage,1,5781.074256832863,1,0,17,0
28,Unemployed,PLZ_03,462,19,16005.91484255392,Sports car,Comprehensive,1,11024.694929434769,1,1,40,0
18,Unemployed,PLZ_06,510,25,34141.696545811414,SUV,Comprehensive,0,19604.709229539323,1,1,13,0
36,Unemployed,PLZ_10,706,12,3568.27007891273,Compact,Liability,3,1772.498630128127,0,1,10,0
50,Self-employed,PLZ_04,683,16,56507.67858160248,SUV,Comprehensive,1,13210.647876013178,0,1,9,0
80,Student,PLZ_07,793,20,72357.62881046256,Luxury,Comprehensive,1,7055.990512009806,1,1,29,0
58,Self-employed,PLZ_07,485,0,2239.379101571987,Luxury,Liability,2,7405.673721601616,1,1,6,1
53,Unemployed,PLZ_03,768,5,52728.714702174875,Sports car,Liability,1,11014.193433586497,0,0,33,0
43,Student,PLZ_02,425,13,8026.4025446711,Compact,Partial coverage,0,13234.599855403021,1,0,15,1
42,Unemployed,PLZ_04,685,14,19282.184549381254,Luxury,Liability,1,13392.822388429226,1,0,43,1
78,Self-employed,PLZ_10,493,24,43289.42406462202,Mid-range,Partial coverage,0,1761.4572297922812,1,1,7,0
55,Employed,PLZ_06,546,19,26272.480788847093,Compact,Partial coverage,2,15027.507599346645,1,1,16,0
20,Unemployed,PLZ_10,776,3,1464.9388670497979,Luxury,Liability,1,6187.8054677238815,0,0,40,1
43,Self-employed,PLZ_03,731,21,78637.55903355156,Luxury,Comprehensive,1,10500.063900713098,0,1,27,0
37,Unemployed,PLZ_09,555,16,14523.720822944293,SUV,Comprehensive,0,12695.741985374807,1,0,30,0
39,Self-employed,PLZ_10,523,17,42659.83286052164,Sports car,Liability,3,13210.480430284435,1,0,38,0
49,Student,PLZ_07,496,14,41735.364392168885,Mid-range,Liability,2,10052.839446889198,0,0,30,0
47,Self-employed,PLZ_06,640,13,76011.04005813507,SUV,Comprehensive,3,25290.91602356506,1,0,35,0
47,Employed,PLZ_04,709,22,61877.52844606399,Sports car,Partial coverage,2,3119.261970629515,0,0,25,0
70,Student,PLZ_04,558,9,44905.069212505114,Compact,Partial coverage,0,10931.413589929005,1,0,28,0
49,Employed,PLZ_04,553,16,59175.926462100295,Mid-range,Partial coverage,0,2602.5973941171274,1,1,11,0
78,Employed,PLZ_09,617,18,67876.87538480725,Luxury,Liability,3,10667.850053650327,0,0,11,0
39,Employed,PLZ_10,550,12,26550.424770501348,Mid-range,Comprehensive,3,11878.244455014,0,1,32,0
39,Unemployed,PLZ_03,322,6,10572.535339897202,Compact,Partial coverage,3,36719.31700752574,0,0,47,1
46,Student,PLZ_03,641,29,65081.125325266556,Luxury,Partial coverage,2,7411.519297229389,0,0,8,1
50,Student,PLZ_07,560,16,16117.318115439753,Mid-range,Liability,3,9234.068444640277,1,1,26,0
56,Student,PLZ_03,632,16,27952.844592083242,SUV,Comprehensive,2,7827.775655124987,1,1,24,0
62,Employed,PLZ_10,580,13,70627.31691421146,Mid-range,Partial coverage,1,6200.274156180057,1,0,20,0
32,Employed,PLZ_04,580,0,53543.649131542894,Luxury,Comprehensive,2,24119.669962047417,0,0,7,0
29,Student,PLZ_08,423,11,7868.052791728867,SUV,Comprehensive,3,20822.766082118607,0,0,37,1
80,Student,PLZ_05,469,19,20222.38331495331,SUV,Liability,3,6915.888547521576,0,0,26,0
47,Unemployed,PLZ_04,630,16,13269.316208119506,SUV,Partial coverage,0,11092.387098876845,1,0,25,1
53,Employed,PLZ_05,690,12,3513.0527687233703,Compact,Comprehensive,2,3971.50348376807,0,0,39,0
32,Student,PLZ_09,762,30,18134.199973016748,Mid-range,Partial coverage,0,6514.606524466863,0,1,6,0
42,Employed,PLZ_03,672,22,52160.15205121775,Compact,Comprehensive,4,5696.294603668626,0,1,28,0
37,Unemployed,PLZ_09,610,9,2102.1986620212656,Sports car,Liability,5,13242.97723036469,0,0,50,1
62,Student,PLZ_03,850,20,77031.3061334198,SUV,Liability,0,18577.91039240236,1,1,25,0
18,Student,PLZ_08,638,6,19453.54911988867,Luxury,Comprehensive,1,19542.579904941358,0,1,8,1
51,Self-employed,PLZ_06,736,10,24054.11670247858,SUV,Partial coverage,0,6190.50073988557,1,0,21,0
35,Unemployed,PLZ_05,731,15,3750.4872152507974,Luxury,Comprehensive,1,7861.15023742088,1,0,37,1
62,Self-employed,PLZ_06,792,15,6500.3087423305615,Sports car,Liability,0,4126.4075255922835,0,1,5,0
34,Self-employed,PLZ_04,773,16,79900.18951418046,Mid-range,Liability,2,3238.683354196625,0,0,30,0
42,Unemployed,PLZ_04,621,30,27403.315395842932,Sports car,Comprehensive,2,9300.00123493743,1,0,0,0
43,Student,PLZ_09,521,23,54697.29644299543,Luxury,Partial coverage,1,11390.191176094968,0,1,9,0
38,Unemployed,PLZ_08,687,20,60325.51989376438,Compact,Partial coverage,1,17139.11833046841,1,1,3,0
35,Employed,PLZ_10,488,14,39991.807977361896,SUV,Partial coverage,4,3894.697354988448,0,0,32,0
36,Student,PLZ_05,678,13,37550.11834375375,Luxury,Partial coverage,1,4427.068440925052,1,1,29,0
24,Employed,PLZ_06,775,26,27538.928788902846,Compact,Comprehensive,1,15889.890404367632,1,1,35,1
61,Unemployed,PLZ_09,503,0,56451.32485882577,Sports car,Liability,2,9029.894211106359,0,0,10,0
36,Employed,PLZ_04,643,26,42510.01028103124,Luxury,Comprehensive,1,15664.814377615463,0,1,6,0
46,Employed,PLZ_02,603,17,34725.307102411316,Sports car,Comprehensive,2,10603.688843153634,1,1,35,0
54,Unemployed,PLZ_06,498,4,12982.596190875756,SUV,Comprehensive,3,18409.417268776222,1,0,36,1
48,Self-employed,PLZ_09,505,19,53743.88997736653,SUV,Liability,1,13040.999497808161,1,1,26,0
36,Self-employed,PLZ_06,530,6,35518.43597618763,Compact,Comprehensive,2,7064.881662524274,0,0,34,0
52,Self-employed,PLZ_07,653,6,9239.435279728348,Compact,Liability,0,9596.116876580743,0,1,24,0
62,Unemployed,PLZ_05,696,0,28091.887114723508,SUV,Liability,3,26043.759468886645,1,1,30,0
38,Self-employed,PLZ_09,558,25,4607.306984080522,Mid-range,Liability,1,10555.195396846015,1,0,11,1
54,Self-employed,PLZ_08,563,28,10736.687188903892,SUV,Comprehensive,0,7629.039991959773,1,1,1,0
21,Unemployed,PLZ_09,571,0,79492.13484474817,Luxury,Comprehensive,0,31451.680492961605,0,1,41,1
42,Self-employed,PLZ_01,374,26,63518.64819278179,Sports car,Partial coverage,1,5838.672490655456,0,0,36,0
49,Self-employed,PLZ_10,540,13,79032.43732235886,SUV,Comprehensive,2,9681.516615675313,1,0,32,0
35,Student,PLZ_03,405,15,75298.87413150846,Luxury,Partial coverage,3,283.43086584915505,0,1,31,0
46,Employed,PLZ_07,777,7,76661.5533892465,Luxury,Partial coverage,0,12273.630090698549,0,1,5,0
27,Self-employed,PLZ_04,509,23,38822.551312718795,Luxury,Partial coverage,2,5503.799105980654,0,0,33,0
49,Employed,PLZ_01,747,15,54491.01942511647,Sports car,Liability,0,18234.309395885208,1,0,29,0
69,Self-employed,PLZ_03,754,25,1976.0596158239246,Luxury,Liability,1,1952.580379427384,1,1,41,0
24,Self-employed,PLZ_05,423,16,31008.221166626434,Sports car,Partial coverage,3,39066.188728427565,0,0,28,1
38,Employed,PLZ_07,464,22,54354.58397946422,Compact,Partial coverage,4,18148.106660353285,1,1,21,0
63,Self-employed,PLZ_01,652,15,13158.067233424608,Compact,Liability,0,26260.426319978866,0,1,0,1
64,Student,PLZ_06,550,10,71715.44139985343,SUV,Partial coverage,2,1248.5699475853337,1,1,28,0
32,Student,PLZ_05,693,14,9466.192554254383,Sports car,Comprehensive,0,1188.559472512521,1,1,0,0
43,Employed,PLZ_09,475,18,67195.26361622289,Compact,Partial coverage,2,24367.256651364376,0,1,47,0
48,Employed,PLZ_08,605,12,49603.987266193304,Luxury,Partial coverage,1,14644.740834065871,0,0,49,0
52,Unemployed,PLZ_07,675,25,68922.03274860205,Compact,Partial coverage,3,17589.671763467846,1,1,14,0
18,Self-employed,PLZ_04,508,18,18691.771434051978,Mid-range,Liability,2,2151.041432454342,1,0,22,0
55,Unemployed,PLZ_09,504,1,51350.034259638465,Luxury,Liability,2,15373.451992167502,0,0,10,0
68,Student,PLZ_03,532,21,18607.636050976955,Sports car,Partial coverage,2,3617.136689541049,1,0,24,0
42,Employed,PLZ_03,404,14,21653.11764724053,Mid-range,Partial coverage,2,7186.532692359019,1,0,51,0
35,Self-employed,PLZ_10,620,13,9973.530628207083,Compact,Partial coverage,3,17501.97833903765,1,0,13,1
46,Student,PLZ_04,653,20,68487.65819160095,Sports car,Liability,2,10439.395595390155,0,1,40,0
80,Student,PLZ_07,679,17,64368.7789094041,Compact,Partial coverage,2,5946.503569552971,0,1,33,0
67,Self-employed,PLZ_09,825,22,23245.001475291025,Luxury,Partial coverage,0,5609.2505390164915,1,0,16,0
59,Employed,PLZ_07,591,12,15197.456330234467,Compact,Liability,3,7018.422553356686,1,0,18,0
53,Employed,PLZ_05,679,16,64070.769549812096,Compact,Comprehensive,3,4067.013224816222,0,0,21,0
38,Self-employed,PLZ_07,606,14,37614.075940464834,Sports car,Partial coverage,1,10277.196224491528,0,1,46,0
42,Student,PLZ_01,526,8,26904.99479450204,SUV,Partial coverage,3,9939.14044830725,0,0,25,1
48,Student,PLZ_07,587,16,54833.44326961545,Luxury,Comprehensive,2,10164.124764625447,1,0,36,1
50,Self-employed,PLZ_01,506,28,31410.581261379084,Compact,Comprehensive,1,23784.793721690705,1,0,39,1
73,Unemployed,PLZ_04,643,11,58515.995584303026,Sports car,Partial coverage,1,14955.32435471735,1,1,30,0
53,Self-employed,PLZ_03,340,2,17539.488957683963,Luxury,Partial coverage,4,7825.139654713556,0,1,42,0
25,Employed,PLZ_02,415,7,45870.19296992527,SUV,Partial coverage,2,13119.065437734298,1,0,27,1
57,Unemployed,PLZ_08,716,14,70115.3657588649,Mid-range,Liability,2,1226.1066309092032,0,1,16,0
66,Unemployed,PLZ_01,754,24,65100.943716773654,Luxury,Comprehensive,0,8423.495931160765,1,0,6,0
56,Employed,PLZ_05,645,18,75539.88413661734,Mid-range,Comprehensive,1,8006.936990526351,0,0,44,0
41,Self-employed,PLZ_01,628,15,2666.1261928602785,Mid-range,Comprehensive,0,1180.9978086794974,1,0,13,1
80,Self-employed,PLZ_07,633,19,74351.50112605587,Luxury,Comprehensive,1,7403.045518927478,0,1,25,0
28,Unemployed,PLZ_03,642,18,19994.729826505787,Sports car,Partial coverage,1,11814.399498829855,1,1,46,0
34,Employed,PLZ_06,683,14,75610.1004368563,SUV,Partial coverage,2,5762.827587039841,1,1,38,0
57,Unemployed,PLZ_07,564,7,21162.479055241613,Mid-range,Comprehensive,1,25624.75896646724,1,0,35,0
80,Student,PLZ_10,581,26,15789.164948419586,Sports car,Partial coverage,0,23746.057728936863,1,1,0,1
39,Unemployed,PLZ_01,587,17,50590.710480784976,Compact,Liability,1,1669.4701549034212,1,1,22,0
41,Student,PLZ_10,546,11,58407.895603053,SUV,Partial coverage,3,13897.371824659265,0,0,34,0
65,Self-employed,PLZ_07,562,10,77006.00026017024,Luxury,Partial coverage,5,8664.84126649297,0,1,20,0
55,Self-employed,PLZ_08,487,25,24791.767288501047,Luxury,Comprehensive,0,8368.661353588002,1,1,16,0
44,Employed,PLZ_01,761,16,36712.48326592777,Compact,Partial coverage,3,13763.113489843097,0,0,22,0
56,Unemployed,PLZ_10,549,11,48774.9171094097,SUV,Comprehensive,3,6640.15263011837,1,1,30,0
58,Student,PLZ_03,670,9,66081.0716206209,Mid-range,Comprehensive,3,30625.195433183293,1,1,56,0
64,Employed,PLZ_08,715,21,62742.90410460951,Compact,Partial coverage,2,4059.6844397096847,1,0,30,0
69,Student,PLZ_06,362,19,75560.68312767989,SUV,Comprehensive,1,13006.33749645773,1,0,29,0
60,Employed,PLZ_02,617,21,43816.76490266825,Luxury,Comprehensive,1,1750.3507396638104,0,1,23,0
52,Self-employed,PLZ_02,539,0,65913.78767598016,Mid-range,Comprehensive,2,2639.236074590973,0,1,30,0
50,Unemployed,PLZ_06,532,12,64469.084006375924,Luxury,Liability,3,1511.731727665151,0,0,17,1
51,Unemployed,PLZ_07,517,8,17348.58929112907,Mid-range,Comprehensive,2,39469.27731311571,0,0,16,1
45,Employed,PLZ_03,681,6,28200.283112513658,SUV,Partial coverage,4,20186.800817604668,0,1,35,0
56,Employed,PLZ_07,750,25,16787.604708521038,Compact,Liability,0,8132.392000642208,1,1,7,0
72,Employed,PLZ_08,752,23,4332.9880553019275,Mid-range,Liability,2,16534.02137404456,0,1,0,1
70,Unemployed,PLZ_04,573,15,68166.52037240892,SUV,Liability,2,8250.615579698382,1,1,49,0
24,Self-employed,PLZ_02,429,20,72251.55106636214,Compact,Comprehensive,2,25824.92059921886,0,0,31,1
47,Employed,PLZ_05,361,5,34254.536826988624,Luxury,Comprehensive,2,22330.67195396164,0,0,47,0
20,Employed,PLZ_05,300,0,29826.57539753821,Sports car,Liability,5,21134.208930220735,0,0,36,0
42,Unemployed,PLZ_10,601,13,38186.55763875921,SUV,Comprehensive,4,18352.09387298368,1,1,48,0
50,Self-employed,PLZ_09,535,6,50644.479233711005,Compact,Comprehensive,0,22714.730230553538,1,0,30,0
55,Student,PLZ_01,521,16,78992.83642479587,SUV,Partial coverage,3,8407.32019749827,0,0,49,0
45,Student,PLZ_02,524,8,69856.4082152636,SUV,Liability,2,17276.45053985662,0,1,34,0
22,Self-employed,PLZ_05,820,25,13840.196404625087,Sports car,Liability,1,2304.6315996101544,0,1,27,0
31,Self-employed,PLZ_10,472,5,70294.19251041907,Sports car,Comprehensive,0,23093.39482293823,0,0,38,0
67,Employed,PLZ_07,739,30,39299.22763640469,Sports car,Partial coverage,1,5080.923784040925,0,1,12,0
18,Unemployed,PLZ_04,614,30,64604.092699364555,Sports car,Comprehensive,1,3560.2757216751206,1,0,14,0
70,Unemployed,PLZ_08,623,16,67763.09585063551,Luxury,Liability,0,10645.676427566064,1,0,15,0
57,Self-employed,PLZ_07,712,22,30877.91037344304,Sports car,Partial coverage,2,3313.3055050057637,1,1,8,0
58,Student,PLZ_04,607,2,3220.2090752769077,Sports car,Comprehensive,3,18144.047375346356,0,0,42,1
56,Unemployed,PLZ_01,688,29,29820.97552328522,Compact,Comprehensive,0,7411.680074582679,1,1,0,0
18,Self-employed,PLZ_10,638,11,3368.483768091249,Mid-range,Liability,2,17490.129723802107,1,0,13,1
64,Employed,PLZ_06,733,12,41607.65320012123,Compact,Comprehensive,1,5362.631752239378,1,0,14,0
71,Unemployed,PLZ_01,629,0,75983.77147442341,Luxury,Partial coverage,0,25893.33029002286,1,1,20,0
58,Student,PLZ_07,555,8,70923.6803332545,Luxury,Partial coverage,3,2298.24499173441,0,0,38,0
39,Student,PLZ_03,527,16,31294.813251112486,Sports car,Liability,2,4915.022411701404,1,0,34,0
56,Student,PLZ_07,634,28,60767.92378081472,Sports car,Liability,2,9046.379216814226,0,0,11,0
45,Self-employed,PLZ_06,584,18,58745.49417237084,SUV,Liability,1,6346.7119846822425,0,0,6,0
34,Unemployed,PLZ_10,649,19,46637.3391104142,SUV,Comprehensive,3,8047.821924211329,0,0,35,0
67,Student,PLZ_05,634,14,56659.36166937014,Compact,Liability,0,2364.8162416795567,0,1,0,0
30,Employed,PLZ_07,457,11,72365.36321326449,Compact,Comprehensive,4,4672.74391789753,0,1,25,0
36,Employed,PLZ_05,524,22,23219.10863088683,Luxury,Comprehensive,1,10747.6082265904,1,0,34,0
36,Unemployed,PLZ_10,319,0,14880.137041320037,SUV,Partial coverage,0,12772.132446812691,0,1,31,1
18,Unemployed,PLZ_02,421,6,26414.44768991523,SUV,Liability,4,23020.299744442927,0,0,40,1
49,Student,PLZ_09,565,9,49269.495449756214,Sports car,Partial coverage,1,11201.215181687436,1,0,4,0
77,Employed,PLZ_01,707,30,39120.618274695604,Mid-range,Liability,0,3069.1341136794767,1,1,0,0
46,Employed,PLZ_10,786,10,54110.05965248804,Luxury,Comprehensive,3,8090.020784887601,0,1,34,0
30,Unemployed,PLZ_06,697,21,36207.739522384734,SUV,Partial coverage,0,24478.57676704733,1,0,14,0
58,Self-employed,PLZ_10,601,18,52444.02835110874,SUV,Liability,1,29011.297969123414,1,1,57,0
79,Student,PLZ_10,483,7,8006.8644030964615,Mid-range,Liability,0,8977.205001541139,0,1,0,1
40,Self-employed,PLZ_08,570,14,35288.14334615612,Sports car,Partial coverage,2,11024.29245292012,0,0,27,0
40,Self-employed,PLZ_09,521,9,52006.55497899877,Compact,Comprehensive,0,1312.1378765138302,0,0,49,1
53,Employed,PLZ_07,469,18,24011.16716506075,Compact,Partial coverage,3,4980.240927268219,0,1,36,1
80,Employed,PLZ_06,592,24,26518.800224775157,Sports car,Partial coverage,1,16903.648835675933,0,0,0,0
43,Employed,PLZ_01,439,14,2601.5397835203507,Sports car,Liability,0,5720.825422077247,1,1,54,0
32,Student,PLZ_10,500,9,63148.59763099221,Mid-range,Partial coverage,1,5007.525504264692,1,0,39,0
62,Self-employed,PLZ_03,726,24,39360.895716114115,Mid-range,Partial coverage,1,23049.98279467103,0,0,15,0
53,Self-employed,PLZ_09,479,7,14158.462004563302,Sports car,Partial coverage,4,12355.733436427801,0,0,52,1
48,Self-employed,PLZ_09,525,2,50793.56457465121,Luxury,Partial coverage,0,41282.928922408886,0,1,39,1
47,Employed,PLZ_03,675,9,10437.111431148622,Luxury,Partial coverage,0,6029.908128385896,1,1,20,0
60,Student,PLZ_08,661,14,37731.683183195375,Luxury,Comprehensive,4,14233.811895429099,1,1,17,0
